# Global Coefficients
XFOIL_Cl,XFOIL_Cd,Potential_Cl
0.7343,0.00562,0.7541381308652548

# Surface Distributions
x/c,Cp_Upper,Cp_Lower,Delta_Cp
-0.000043,0.315810,0.723226,0.407416
0.000261,-0.167910,0.952260,1.120170
0.001347,-0.586721,0.997033,1.583754
0.003216,-0.875808,0.925579,1.801386
0.005867,-1.047083,0.808431,1.855514
0.009299,-1.137545,0.686920,1.824465
0.013508,-1.179449,0.578147,1.757595
0.018490,-1.194115,0.486595,1.680710
0.024239,-1.194176,0.411601,1.605777
0.030749,-1.186758,0.350878,1.537636
0.038011,-1.175765,0.301934,1.477699
0.046016,-1.163278,0.262546,1.425824
0.054752,-1.150352,0.230879,1.381231
0.064208,-1.137469,0.205458,1.342927
0.074369,-1.124795,0.185111,1.309905
0.085220,-1.112320,0.168907,1.281227
0.096746,-1.099943,0.156105,1.256049
0.108927,-1.087521,0.146107,1.233627
0.121746,-1.074891,0.138424,1.213315
0.135181,-1.061890,0.132657,1.194547
0.149211,-1.048362,0.128469,1.176831
0.163813,-1.034160,0.125577,1.159737
0.178962,-1.019151,0.123735,1.142885
0.194634,-1.003210,0.122728,1.125938
0.210802,-0.986227,0.122364,1.108591
0.227439,-0.968095,0.122467,1.090562
0.244517,-0.948707,0.122873,1.071580
0.262006,-0.927952,0.123421,1.051373
0.279876,-0.905695,0.123947,1.029642
0.298098,-0.881757,0.124272,1.006030
0.316640,-0.855857,0.124181,0.980038
0.335469,-0.827465,0.123363,0.950828
0.354555,-0.795053,0.121252,0.916304
0.373768,-0.758063,0.116981,0.875044
0.393038,-0.723900,0.111716,0.835616
0.412430,-0.693750,0.109251,0.803001
0.431955,-0.665841,0.108252,0.774093
0.451580,-0.639353,0.108105,0.747458
0.471276,-0.613899,0.108532,0.722431
0.491010,-0.589254,0.109369,0.698623
0.510753,-0.565275,0.110501,0.675776
0.530472,-0.541859,0.111848,0.653707
0.550137,-0.518931,0.113350,0.632280
0.569717,-0.496430,0.114959,0.611389
0.589183,-0.474306,0.116641,0.590947
0.608502,-0.452515,0.118371,0.570886
0.627647,-0.431018,0.120128,0.551146
0.646586,-0.409779,0.121901,0.531680
0.665291,-0.388761,0.123684,0.512446
0.683733,-0.367933,0.125475,0.493408
0.701884,-0.347260,0.127277,0.474538
0.719716,-0.326712,0.129098,0.455809
0.737201,-0.306255,0.130948,0.437204
0.754314,-0.285861,0.132843,0.418704
0.771028,-0.265497,0.134801,0.400298
0.787317,-0.245135,0.136845,0.381980
0.803158,-0.224745,0.138998,0.363743
0.818526,-0.204299,0.141291,0.345590
0.833398,-0.183769,0.143756,0.327525
0.847753,-0.163129,0.146429,0.309558
0.861567,-0.142352,0.149351,0.291703
0.874822,-0.121414,0.152569,0.273983
0.887497,-0.100290,0.156135,0.256425
0.899573,-0.078955,0.160110,0.239065
0.911033,-0.057387,0.164565,0.221952
0.921860,-0.035561,0.169585,0.205146
0.932038,-0.013456,0.175272,0.188728
0.941551,0.008950,0.181750,0.172800
0.950387,0.031679,0.189178,0.157499
0.958532,0.054751,0.197756,0.143006
0.965974,0.078189,0.207742,0.129554
0.972703,0.102028,0.219470,0.117442
0.978708,0.126341,0.233358,0.107017
0.983982,0.151315,0.249913,0.098597
0.988517,0.177446,0.269655,0.092208
0.992306,0.206013,0.292924,0.086911
0.995344,0.240135,0.319493,0.079358
0.997626,0.286314,0.348193,0.061879
0.999149,0.350913,0.379634,0.028721
0.999911,0.430889,0.430889,-0.000000
