Eval,m,p,t,Cl,Cd,Error
1,0.01,0.4,0.12,0.3325,0.00571,5.405625000000001
2,0.0101,0.4,0.12,0.3336,0.00575,5.4568959999999995
3,0.01,0.4001,0.12,0.3322,0.00573,5.391684000000001
4,0.01,0.4,0.1201,0.3327,0.00575,5.414929
5,0.0,0.8,0.05,0.2291,0.0055,1.6666809999999999
6,0.004706357764544776,0.611745689418209,0.08294450435181344,0.2966,0.00521,3.865155999999999
7,0.007233751319181822,0.5106499472327272,0.10063625923427275,0.3064,0.00532,4.260096
8,0.008526338341191052,0.4589464663523579,0.10968436838833737,0.3178,0.00546,4.743684000000002
9,0.00921056075995256,0.4315775696018976,0.11447392531966792,0.3244,0.00556,5.035536000000001
10,0.009575775183419358,0.41696899266322573,0.11703042628393551,0.328,0.00565,5.198400000000001
11,0.009771314658513297,0.40914741365946816,0.11839920260959307,0.3303,0.00568,5.303808999999999
12,0.009877570490428268,0.40489718038286937,0.11914299343299786,0.3318,0.0057,5.373123999999998
13,0.009936275485621574,0.4025489805751371,0.119553928399351,0.3313,0.00572,5.349968999999999
14,0.010036275485621573,0.4025489805751371,0.119553928399351,0.3336,0.0057,5.4568959999999995
15,0.009936275485621574,0.4026489805751371,0.119553928399351,0.3311,0.00574,5.340720999999999
16,0.009936275485621574,0.4025489805751371,0.119653928399351,0.3315,0.00572,5.3592249999999995
17,0.0,0.5232527221958457,0.05,0.2291,0.0055,1.6666809999999999
18,0.0001,0.5232527221958457,0.05,0.2302,0.00549,1.6952039999999995
19,0.0,0.5233527221958457,0.05,0.2291,0.0055,1.6666809999999999
20,0.0,0.5232527221958457,0.050100000000000006,0.2291,0.00551,1.6666809999999999
