# Global Coefficients
Potential_Cl
0.4998815239295612

# Surface Distributions
x/c,Cp_Upper,Cp_Lower,Delta_Cp
-0.000272,0.951442,0.993611,0.042170
-0.000416,0.740430,0.878353,0.137923
0.000247,0.439859,0.691106,0.251248
0.001728,0.140750,0.511798,0.371049
0.004038,-0.113214,0.373976,0.487190
0.007186,-0.316771,0.279338,0.596109
0.011179,-0.479028,0.218689,0.697717
0.016022,-0.610614,0.182058,0.792672
0.021720,-0.719804,0.161557,0.881361
0.028275,-0.812171,0.151530,0.963701
0.035686,-0.891126,0.148034,1.039160
0.043951,-0.958503,0.148314,1.106817
0.053066,-1.014995,0.150389,1.165385
0.063023,-1.060431,0.152759,1.213190
0.073812,-1.093913,0.154179,1.248091
0.085420,-1.113807,0.153467,1.267274
0.097830,-1.117504,0.149260,1.266763
0.111022,-1.100468,0.139533,1.240001
0.124971,-1.050828,0.120128,1.170955
0.139298,-0.971114,0.085493,1.056607
0.153563,-0.906594,0.047832,0.954426
0.168020,-0.863004,0.026381,0.889385
0.182993,-0.826150,0.010050,0.836200
0.198458,-0.793429,-0.002535,0.790894
0.214390,-0.763464,-0.012289,0.751175
0.230765,-0.735459,-0.019792,0.715666
0.247557,-0.708921,-0.025448,0.683472
0.264741,-0.683526,-0.029555,0.653971
0.282288,-0.659055,-0.032346,0.626709
0.300172,-0.635354,-0.034011,0.601343
0.318364,-0.612313,-0.034707,0.577605
0.336837,-0.589854,-0.034570,0.555284
0.355561,-0.567919,-0.033716,0.534204
0.374507,-0.546468,-0.032247,0.514221
0.393646,-0.525469,-0.030253,0.495216
0.412948,-0.504898,-0.027814,0.477084
0.432382,-0.484737,-0.024999,0.459737
0.451918,-0.464971,-0.021872,0.443099
0.471527,-0.445586,-0.018485,0.427101
0.491177,-0.426569,-0.014886,0.411683
0.510838,-0.407909,-0.011117,0.396792
0.530480,-0.389590,-0.007210,0.382380
0.550072,-0.371599,-0.003195,0.368404
0.569584,-0.353918,0.000906,0.354824
0.588985,-0.336531,0.005073,0.341605
0.608246,-0.319418,0.009296,0.328713
0.627338,-0.302556,0.013564,0.316121
0.646230,-0.285924,0.017875,0.303799
0.664893,-0.269495,0.022229,0.291724
0.683299,-0.253245,0.026629,0.279873
0.701420,-0.237144,0.031083,0.268227
0.719228,-0.221164,0.035604,0.256768
0.736694,-0.205275,0.040204,0.245479
0.753794,-0.189447,0.044902,0.234349
0.770500,-0.173647,0.049718,0.223364
0.786787,-0.157844,0.054674,0.212518
0.802630,-0.142005,0.059797,0.201802
0.818005,-0.126097,0.065116,0.191213
0.832889,-0.110089,0.070661,0.180750
0.847258,-0.093946,0.076469,0.170415
0.861092,-0.077636,0.082576,0.160212
0.874368,-0.061124,0.089026,0.150150
0.887068,-0.044375,0.095867,0.140242
0.899171,-0.027355,0.103152,0.130507
0.910659,-0.010026,0.110944,0.120970
0.921515,0.007650,0.119316,0.111666
0.931723,0.025716,0.128357,0.102641
0.941268,0.044217,0.138173,0.093956
0.950134,0.063204,0.148898,0.085694
0.958308,0.082733,0.160700,0.077966
0.965779,0.102877,0.173796,0.070919
0.972535,0.123729,0.188466,0.064738
0.978566,0.145430,0.205069,0.059639
0.983863,0.168234,0.224051,0.055817
0.988418,0.192656,0.245921,0.053265
0.992225,0.219826,0.271165,0.051339
0.995277,0.252299,0.300099,0.047800
0.997569,0.295235,0.332839,0.037604
0.999100,0.353966,0.371127,0.017161
0.999866,0.429052,0.429052,-0.000000
