# Global Coefficients
Optimized_Potential_Cl,Analyzed_Potential_Cl
0.7498920727907095,0.7498920727907095

# Surface Distributions
x/c,Cp_Upper,Cp_Lower,Delta_Cp
0.000024,0.478586,0.898775,0.420189
0.000460,-0.053487,0.994690,1.048177
0.001675,-0.431711,0.866618,1.298329
0.003665,-0.628828,0.689006,1.317834
0.006431,-0.716555,0.536238,1.252793
0.009968,-0.750690,0.420242,1.170932
0.014273,-0.760528,0.335126,1.095655
0.019339,-0.759956,0.272982,1.032938
0.025161,-0.755393,0.227450,0.982843
0.031729,-0.749766,0.193957,0.943723
0.039035,-0.744363,0.169303,0.913666
0.047069,-0.739692,0.151244,0.890936
0.055818,-0.735886,0.138192,0.874078
0.065270,-0.732904,0.129001,0.861905
0.075411,-0.730624,0.122831,0.853456
0.086225,-0.728897,0.119057,0.847953
0.097696,-0.727564,0.117201,0.844765
0.109806,-0.726477,0.116896,0.843373
0.122537,-0.725495,0.117853,0.843349
0.135868,-0.724496,0.119841,0.844337
0.149779,-0.723368,0.122673,0.846041
0.164248,-0.722018,0.126193,0.848211
0.179250,-0.720364,0.130272,0.850636
0.194763,-0.718338,0.134802,0.853140
0.210761,-0.715883,0.139689,0.855571
0.227219,-0.712954,0.144851,0.857805
0.244109,-0.709517,0.150218,0.859735
0.261404,-0.705546,0.155728,0.861273
0.279077,-0.701023,0.161326,0.862349
0.297097,-0.695940,0.166965,0.862905
0.315437,-0.690294,0.172603,0.862897
0.334065,-0.684090,0.178203,0.862292
0.352952,-0.677338,0.183733,0.861071
0.372066,-0.670056,0.189168,0.859224
0.391378,-0.662268,0.194486,0.856755
0.410854,-0.654005,0.199673,0.853679
0.430465,-0.645309,0.204721,0.850030
0.450178,-0.636235,0.209630,0.845865
0.469962,-0.626866,0.214415,0.841281
0.489784,-0.617343,0.219115,0.836457
0.509614,-0.607983,0.223831,0.831813
0.529431,-0.599452,0.228799,0.828251
0.549217,-0.590026,0.233714,0.823740
0.568926,-0.578675,0.237594,0.816268
0.588515,-0.565830,0.240630,0.806460
0.607951,-0.551856,0.243046,0.794901
0.627206,-0.536916,0.244927,0.781843
0.646247,-0.521115,0.246324,0.767439
0.665047,-0.504526,0.247273,0.751799
0.683576,-0.487207,0.247802,0.735009
0.701806,-0.469205,0.247938,0.717143
0.719708,-0.450562,0.247705,0.698267
0.737256,-0.431315,0.247127,0.678442
0.754423,-0.411498,0.246230,0.657728
0.771184,-0.391143,0.245040,0.636183
0.787512,-0.370279,0.243583,0.613862
0.803385,-0.348937,0.241889,0.590826
0.818777,-0.327144,0.239989,0.567133
0.833668,-0.304929,0.237918,0.542847
0.848034,-0.282320,0.235714,0.518034
0.861855,-0.259344,0.233419,0.492763
0.875110,-0.236032,0.231080,0.467112
0.887781,-0.212414,0.228753,0.441167
0.899850,-0.188520,0.226502,0.415022
0.911298,-0.164386,0.224403,0.388789
0.922110,-0.140050,0.222548,0.362599
0.932271,-0.115557,0.221050,0.336608
0.941766,-0.090960,0.220052,0.311012
0.950582,-0.066325,0.219734,0.286059
0.958706,-0.041734,0.220332,0.262065
0.966128,-0.017291,0.222149,0.239440
0.972837,0.006883,0.225582,0.218699
0.978823,0.030667,0.231130,0.200462
0.984080,0.054025,0.239376,0.185351
0.988598,0.077222,0.250876,0.173654
0.992373,0.101414,0.265813,0.164398
0.995399,0.129985,0.283216,0.153231
0.997672,0.171143,0.299854,0.128711
0.999189,0.237706,0.310751,0.073046
0.999948,0.325884,0.325884,-0.000000
