# Global Coefficients
XFOIL_Cl,XFOIL_Cd,Potential_Cl
0.5058,0.00517,0.5438104737067361

# Surface Distributions
x/c,Cp_Upper,Cp_Lower,Delta_Cp
-0.000013,0.837458,0.989402,0.151944
0.000350,0.544938,0.965794,0.420857
0.001494,0.216577,0.819925,0.603349
0.003417,-0.064474,0.635053,0.699528
0.006119,-0.273209,0.464323,0.737533
0.009597,-0.418709,0.325945,0.744654
0.013847,-0.518293,0.220027,0.738320
0.018865,-0.586858,0.140896,0.727754
0.024645,-0.634935,0.082357,0.717292
0.031178,-0.669455,0.039263,0.708718
0.038456,-0.694866,0.007712,0.702578
0.046470,-0.714003,-0.015163,0.698840
0.055207,-0.728682,-0.031450,0.697232
0.064655,-0.740068,-0.042672,0.697396
0.074801,-0.748912,-0.049953,0.698959
0.085628,-0.755700,-0.054132,0.701567
0.097121,-0.760743,-0.055843,0.704900
0.109262,-0.764244,-0.055574,0.708670
0.122032,-0.766330,-0.053707,0.712623
0.135411,-0.767083,-0.050547,0.716536
0.149376,-0.766553,-0.046339,0.720214
0.163907,-0.764774,-0.041288,0.723486
0.178979,-0.761767,-0.035566,0.726202
0.194567,-0.757550,-0.029318,0.728231
0.210646,-0.752135,-0.022675,0.729460
0.227189,-0.745536,-0.015749,0.729787
0.244169,-0.737767,-0.008643,0.729123
0.261558,-0.728839,-0.001451,0.727387
0.279326,-0.718765,0.005740,0.724505
0.297444,-0.707556,0.012847,0.720403
0.315882,-0.695217,0.019789,0.715006
0.334609,-0.681743,0.026485,0.708228
0.353593,-0.667111,0.032846,0.699957
0.372803,-0.651264,0.038771,0.690035
0.392208,-0.634070,0.044120,0.678191
0.411775,-0.615182,0.048655,0.663837
0.431447,-0.593597,0.051806,0.645403
0.451156,-0.571588,0.054142,0.625731
0.470896,-0.551113,0.057373,0.608486
0.490674,-0.531730,0.061332,0.593062
0.510459,-0.512875,0.065565,0.578440
0.530219,-0.494331,0.069901,0.564232
0.549924,-0.475986,0.074245,0.550231
0.569543,-0.457772,0.078541,0.536313
0.589044,-0.439644,0.082752,0.522396
0.608398,-0.421567,0.086854,0.508421
0.627574,-0.403517,0.090833,0.494350
0.646542,-0.385469,0.094684,0.480153
0.665275,-0.367403,0.098407,0.465810
0.683741,-0.349299,0.102006,0.451305
0.701914,-0.331137,0.105492,0.436629
0.719765,-0.312898,0.108878,0.421776
0.737268,-0.294563,0.112181,0.406744
0.754395,-0.276112,0.115422,0.391535
0.771121,-0.257526,0.118626,0.376152
0.787420,-0.238785,0.121818,0.360603
0.803268,-0.219870,0.125030,0.344899
0.818641,-0.200760,0.128293,0.329053
0.833517,-0.181438,0.131645,0.313082
0.847873,-0.161883,0.135124,0.297007
0.861687,-0.142077,0.138775,0.280853
0.874940,-0.122001,0.142647,0.264648
0.887611,-0.101634,0.146793,0.248427
0.899683,-0.080957,0.151275,0.232233
0.911137,-0.059949,0.156164,0.216113
0.921957,-0.038587,0.161541,0.200128
0.932128,-0.016848,0.167505,0.184352
0.941633,0.005296,0.174173,0.168877
0.950461,0.027875,0.181693,0.153818
0.958598,0.050923,0.190249,0.139326
0.966032,0.074486,0.200077,0.125591
0.972753,0.098625,0.211481,0.112856
0.978751,0.123449,0.224849,0.101400
0.984019,0.149169,0.240660,0.091491
0.988547,0.176261,0.259456,0.083195
0.992331,0.205843,0.281731,0.075888
0.995364,0.240534,0.307725,0.067190
0.997643,0.285772,0.337285,0.051512
0.999164,0.347323,0.371690,0.024367
0.999925,0.425143,0.425143,-0.000000
