Eval,m,p,t,Cl,Cd,Score
1,0.02,0.4,0.12,0.5086,0.00538,8.491395999999998
2,0.0201,0.4,0.12,0.5107,0.00528,8.369449
3,0.02,0.4001,0.12,0.5084,0.00536,8.503056000000004
4,0.02,0.4,0.1201,0.5084,0.00534,8.503056000000004
5,0.09,0.1,0.05,Failed,Failed,1000650.0
6,0.027,0.37,0.11299999999999999,0.5859,0.0051,4.583881000000003
7,0.0271,0.37,0.11299999999999999,0.5871,0.00509,4.5326410000000035
8,0.027,0.3701,0.11299999999999999,0.5862,0.00511,4.571044
9,0.027,0.37,0.11309999999999999,0.5853,0.00506,4.609609000000001
10,0.08999999157588381,0.5398545982293141,0.0500000042534427,1.4294,0.00539,39.614436
11,0.048023221324097844,0.4266808141107358,0.0919767772841402,0.854,0.00503,0.2915999999999993
12,0.048123221324097847,0.4266808141107358,0.0919767772841402,0.8558,0.00521,0.3113639999999996
13,0.048023221324097844,0.42678081411073576,0.0919767772841402,0.8552,0.00512,0.3047039999999991
14,0.048023221324097844,0.4266808141107358,0.0920767772841402,0.8546,0.00509,0.2981159999999998
15,0.08999999994435617,0.21974569527990243,0.05,Failed,Failed,1000649.9999995548
16,0.05222089918612368,0.40598730222765245,0.08777909955572617,0.8586,0.00568,90000.3433959999
17,0.04844298911030043,0.42461146292242746,0.09155700951129879,0.8575,0.00492,0.33062499999999995
18,0.048200932004728116,0.42580474448313493,0.09179906660916644,0.8558,0.00495,0.3113639999999996
19,0.04809625861095487,0.4263207583815535,0.09190373999960794,0.8559,0.00519,0.31248099999999945
20,0.048046679707310185,0.4265651700933246,0.09195331890167453,0.853,0.00483,0.2808999999999993
21,0.04814667970731019,0.4265651700933246,0.09195331890167453,0.8523,0.00464,0.27352899999999897
22,0.048046679707310185,0.4266651700933246,0.09195331890167453,0.8544,0.00532,0.29593600000000003
23,0.048046679707310185,0.4265651700933246,0.09205331890167454,0.8539,0.00491,0.2905209999999994
24,0.08999999453422153,0.21586153949634118,0.05000002532053832,Failed,Failed,1000649.9996017864
25,0.05224201119000132,0.4054948070336263,0.08775798954356091,0.8879,0.0049,0.7726409999999996
26,0.04990845088800015,0.41721473023581485,0.09009154866381285,0.8676,0.00474,0.45697599999999994
27,0.048891224143458534,0.42232358442527645,0.0911087748932159,0.8583,0.0047,0.33988899999999894
28,0.048439306991291675,0.424593264069983,0.09156069181652526,0.8579,0.00504,0.33524099999999946
29,0.048217444723849937,0.4257075308552256,0.0917825539716127,0.8564,0.00516,0.31809600000000005
30,0.04811578954926714,0.4262180772671584,0.09188420909471581,0.8554,0.00513,0.3069160000000001
31,0.0480712401799288,0.4264418191549954,0.0919287584414937,0.8219,0.00531,90000.0479609999
32,0.048049135754572043,0.4265528349994917,0.09195086285565644,0.851,0.00465,0.26009999999999933
