Eval,m,p,t,Cl,Cd,Score
1,0.02,0.4,0.12,0.6575,0.00593,5391.230624999999
2,0.0201,0.4,0.12,0.6581,0.00593,5390.349561
3,0.02,0.4001,0.12,0.6552,0.00614,5394.608704000001
4,0.02,0.4,0.1201,0.6572,0.00597,5391.671184
5,0.08996428072307026,0.10013662977726201,0.05001781298789865,1.0984,0.01754,2254763.208256
6,0.026996428072307028,0.3700136629777262,0.11300178129878986,0.7376,0.00547,5274.245375999999
7,0.027096428072307027,0.3700136629777262,0.11300178129878986,0.7383,0.00552,5273.2286890000005
8,0.026996428072307028,0.3701136629777262,0.11300178129878986,0.7347,0.00552,5278.458408999999
9,0.026996428072307028,0.3700136629777262,0.11310178129878987,0.7366,0.00547,5275.697956
10,0.09,0.1,0.05,Failed,Failed,1000650.0
11,0.033296785265076324,0.3430122966799536,0.10670160316891088,0.8004,0.00495,5183.424016000002
12,0.030384565180788674,0.3554931638482193,0.10961374048478881,0.7694,0.00544,5228.157636
13,0.02881073782899638,0.36223809711390265,0.11118752310672439,0.7576,0.00551,5245.235776000001
14,0.02798022233917109,0.36579742752495986,0.11201801499241114,0.7479,0.00543,5259.295441
15,0.027527656062406387,0.3677369854641458,0.11247056840675819,0.7432,0.00534,5266.114624
16,0.027283445076188437,0.3687835975991497,0.1127147724522387,0.7405,0.00547,5270.034025
17,0.027150985529543255,0.3693512779114196,0.11284722823424188,0.7384,0.00567,5273.083456
18,0.027076644919303835,0.36966987858539063,0.11292156673164165,0.7365,0.0054,5275.843224999999
19,0.027032988382660786,0.3698569768880939,0.11296522202751923,0.7391,0.0055,5272.066881000002
20,0.027132988382660785,0.3698569768880939,0.11296522202751923,0.7394,0.00554,5271.631235999999
21,0.027032988382660786,0.36995697688809387,0.11296522202751923,0.7362,0.00548,5276.279044000001
22,0.027032988382660786,0.3698569768880939,0.11306522202751923,0.7379,0.00554,5273.809641000002
23,0.09,0.10000000000000003,0.05,Failed,Failed,1000650.0
24,0.033329689544394706,0.3428712791992845,0.1066686998247673,0.8015,0.00524,5181.840225
25,0.030421335986623044,0.35533557564059554,0.10957697072402006,0.7708,0.00514,5226.133264
26,0.028848842330051555,0.3620747931044466,0.1111494196886399,0.7565,0.00546,5246.829225
27,0.028007892417574856,0.36567884219723823,0.11199034570042059,0.7478,0.00533,5259.440484000001
28,0.02755378141831072,0.36762502033536837,0.11244444379336441,0.7434,0.00552,5265.824356
29,0.027309785222201725,0.3686707119469429,0.11268843305484053,0.7405,0.0055,5270.034025
30,0.02717660033627435,0.3692415008371949,0.112821614155511,0.7381,0.00554,5273.519161
31,0.02710137588285154,0.3695638893874425,0.11289683647097437,0.7386,0.00552,5272.792996000001
32,0.027065477008098724,0.36971774077034364,0.11293273432544278,0.736,0.00543,5276.5696
33,0.027042628481653997,0.36981566242986585,0.11295558220250794,0.7343,0.00562,5279.039648999999
